author,text
레드홍,지금영어못하면 루저되고 4살부터령어교육하고 우리것이먼대 알앤비에 렙에 미국흑인노래사조따라가면서먼우리것
마산펭귄 Masan Penguin,"이쯤되면 중국 게임 명단, 중국 게임 업체 명단이 돌아다녀야 하는거 아닐까요??  그래야 알고 피하지..."
Hyungjun Kim,그걸 니들이 하면돼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃기네
Erich Topp,중국이 중국했다
로아론PVP 채널,역시 중국은 머리수로  밀고 나가는 클라스 그래서 짝퉁천국이라고 하지ㅉㅉㅉㅉ
Goldenlight,이 영상은 좋아요를 안 누를수가 없다!! 크으~~
최영로,ㄹㅇ 중국에다 핵 하나 떨구고 싶다
공산당,이러다 미국 건드려서 중국 원폭맛고 뒤졌으면 좋겠다
총기판매자,하지만 국회의원도 중국한테 매수당했다는게 함정
sim scott,중국 분해될 그날을 위해
James Lee,이 비디오가 좀 여러 나라 언어로 제작되었음 좋겠습니다. 중국은 많은 나라들을 적국으로 돌리고 요즘은 아프리카 등 후진국 정치인들을 매수해 친중 사상을 심고 있지요. 그런 나라들도 이런 내용을 좀 보고 미리 정신 차릴 수 있음 좋겠어요.
잉,미친 중국놈들
장세원,중국은 인구 90프로 줄어도 안바뀔듯
Tomcat DJ,이제 위안화쓰고 중국어 쓸일만 남은건가 참..
Angela Merici,와... 참 찰지게도 잘 깐다ㅋㅋㅋㅋㅋ
이윤경,중국놈들은 지들 문화를 버리고남에것만 뺏는 성향이 있음
카이저라이히의 일러채널,마윈은 어디에?
조민성,중국게임 불매운동 합시다
이경환,"맨날 한국이 중국 문화뺏어간다면서

뭐라하는 데












니들 문화 없잖아 썅놈새끼들아 
천안문 사건으로 옛문화 다버린 놈들이
무슨 문화타령?"
꼬꼬광팬,문화대혁명때 공산주의에 부합하지 않는다고 자기네 역사 전부 불태워버리고선 이제와서 자국 역사연구 한답시고 남의나라 역사를 자기네꺼라고 우기는 역겨운 꼬라지 ㅋㅋ
prince héritier,확실한건 코로나는 중국거임 팩트
소최,"재네게임사중국임
중공산당말한마디면
사라지는거"
I-Haru,"근데 쟤들은 지들이 과거 역사 다 태워먹었잖냐
뭐 믿고 저런말하나"
Avicii RIP:,"얘네들 웃긴게 영어도 한자의 사투리라고 함ㅋㅋㅋㅋㅋㅋㅋㅋ
문화대혁명으로 지들 문화 다 말아쳐먹고 
이제 와서 보니 지들 문화가 개판인거 알아서 주변국들 문화침탈해대는중ㅋㅋㅋㅋ
피자도 지들꺼라고 하는데 어휴 ;"
Avicii RIP:,반대 207명중 중국인은 몇명일까?ㅋㅋ
사람,"아래글을 많이 퍼주세요.
한복, 김치, 갓이 한국 것 이라는 증거니까
욕만 하지 말고 증거도 보여 줍시다!
↓
China has been trying to steal other countries' cultures for a long time.
China is still trying to steal Korean culture.
It's proof that hanbok, kimchi, and gat are not Chinese culture.
I hope you don't misunderstand us.

https://youtu.be/oeeXay8cPgo
https://en.wikipedia.org/wiki/Kimchi
https://en.wikipedia.org/wiki/Hanbok
https://youtu.be/4QXxGOB_fcQ
https://www.nytimes.com/2020/12/01/world/asia/south-korea-china-kimchi-paocai.html?smid=url-share
https://en.wikipedia.org/wiki/Gat_(hat)
https://youtu.be/J4BL8CTdwbo"
민민,역시 공산당은 안되.. 우리나라는 따라가고 있지만 ㅉㅉㅉ
돈까스 좋아하세요?,"[당에의해 수정된 댓글입니다.]
마오주석H만세!!
시진핑만세!!!E
중국만세!!!L
공산주의 만세!!!!P"
Łitz -,"문에서
화내더니
대가리들이
혁명적으로
명나라를 씹창냈네"
얄미운새우,"현재 스카이 빛의 아이들에서도 갓을 디자인한 스킨이 중국의 것이라고 우기며 중국계 미국인인 게임사 대표까지 중국의 손을 들어줬습니다.
시간이 남는다면 댓게임컴퍼니의 스카이에 대해 다뤄줬으면 합니다. 샤이닝니키와 완전 똑같습니다."
에클레르,중국겜 빠는 애들은 언젠가는 뒷통수 씨게 맞는다
그레이GRAY,뭔 문화열등감이야 지들문화 지들손으로 거덜내서 문화도 없는애들한테 우리가 열등감을 왜가짐? ㅋㅋㅋㅋㅋ
서인동,"안녕하세요. 이때의 상황 설명을 너무 속 시원하게 말씀해주셔서 감사합니다. 바쁘시겠지만 그리고 정말 죄송하지만 도움 한 번만 요청하겠습니다. 힐링게임 '저니(Journey)'로 유명한 게임 회사 'thatgamecompany'의 또 다른 힐링 게임 '스카이 : 빛의 아이들(Sky : the children of light)'에서 중국의 문화침탈이 이루어지고 있습니다. 제가 언변이 좋지 않아 간단하게만 말씀드리겠습니다.

 현재 글로벌 서버에서 진행되고 있는 시즌에서 갓과 유사하게 생긴 코스튬이 나왔습니다. 중국 서버엔 최근에 이 시즌이 업데이트 되었고, 논란을 피하기 위해 중섭에는 삿갓의 형태로 코스튬이 나오게 됩니다. 이에 중국유저들이 '글섭의 갓은 중국의 것이다. 그것을 인정하지 않는 것이냐.' 라며 게임사 측에 항의하였고, 이에 댓게임의 대표가 '글섭의 갓은 명나라 때의 것을 참고하여 만든것이다. 중국의 것이 맞다.'라는 의도가 담긴 중국 유저들을 향한 사과 및 해명글을 웨이보에 올리며 논란이 커지게 되었습니다. 본래 이 게임은 국가, 영토, 성별, 출신...등의 요소에서 최대한 벗어나 국적이 없는 코스튬, 맵들을 만들고, 유저 모두가 힐링하는 것을 목표로 하고 있었습니다. (이 내용을 좀 더 자세하게 설명한 기사를 보여드리고 싶은데 링크를 달 수가 없네요..)

현재 중국인들은 지금 각종 소셜 미디어에서 머릿수 싸움으로 우리 그리고 우리의 것들을 짓밝고 있습니다. 이미 사실이 아닌 것으로 드러난 가슴을 내놓고 입는 한복 사진들을 올리며 우리를 미개하다고 보고, 'Southief Korea(도둑민국)'이라고 하며 적반하장으로 우리를 문화 도둑으로 만들고 있습니다. 게임 안드로이드 출시가 늦고, 잘 알려져 있지 않은 탓인지 한국인 유저가 중국인 유저에 비해 턱없이 적습니다. 총공도 이루어졌지만 실시간 해쉬태그에는 중국인들로 가득차 있습니다. 부디 이 일을 다뤄주시면 정말 감사드리겠습니다. 
한국 유저들은 아직 공식의 답변과 사과를 기다리고 있는 중입니다."
leaf blue,이젠 갓까지 터졌습니다...
대포황,중국생각만하면 내장이 뒤틀린다
6sinegohwan,최근에 sky 빛의 아이들이라는 게임에서도 동북공정 사태가 일어났더라구요. 이거 한번 다뤄주실 수 있나요?
W.A.K,여기에 싫어요 누른사람은 사람인가
이현민,???: 쪕 훠훠훠 즁국 공샨당 100주년 츅하합니다.
연혼,"중국 정부만이 잘못한게 아냐 이런건
인민쌔기들이 다 뇌를 뺐는지 사람이 이리 주장을 하면 찾아보기라도 하던가
아! 니네들 인터넷 끊겼나?"
이종회,2차세계대전에서 프랑스가수에게 독일팬들이 '왜 나치군대들을 응호하지 않음?' 이소리랑 같은소리지. 수준이 에휴...
서인동,"총공은 현재 3차까지 진행되었고, 우리의 총공은 문화침탈을 알리는 것이 아닌, 평화, 평등, 중립을 주장하던 댓게임의 모순과 유저에 대한 차별을 알리는 것을 목표로 하고 있습니다. 억울하고 분하지만 외국인들에게 이를 알려 상황을 바로잡기 위해 이러한 선택을 하였습니다. 댓게임의 이런 유저 기만, 무시를 알아주십시오."
준이,중국 코로나 영화 최미역행 = 미국에서 유행하는 역병 ㅋㅋㅋㅋㅋㅋ 진짜 대가리 없는 것들
조한솔,중국몽 따라가서 아무말도 못함
Min수르,참 이 형 영상볼때마다 느끼는데 만담이 무슨 ocn에서 쇼생크탈출 틀어주면 채널돌리다 어느부분에서 보던 끝까지 보게되듯 봤던거도 다시봐도 끝까지 보게만든다니까 아주 내용이 쫙쫙 붙어서 스킵충인 내가 스킵없이 보게되네 ㅋㅋ
흑우한우,중국이나 일본이나ㅎㅎ
태민,Korea No.1 Taiwan No.2 China No.(corona)19
자본,형은 중국 못갈듯
대재석,"솔직히게임회사는좀불쌍함
그게임회사는 한복이 한국거인거알고 출시한건데 괜히 신비해질까봐 깨갱하고 저런글쓴거아니야..
이게다 중국때문이다"
지코,지떡 이미 지옥불에 던져놓거 딴애들 떡을 입맛 다시려하네
G R,ㅋㅋㅋㅋㅋㅋㅋ와 속시원ㅋㅋㅋㅋㅋ
AMWS,"6.25는 중국언급은 북한한테 발언해달라고 해야지..애초에 관광객도 북한이 아니라 왜 한국으로 오고 그만큼 북한이 못 살고 안 좋은 이유도 공산 독재정권의 페쇠적 구조라서 인데
중국에서의 항미원조는 우리나라에게 적대적인 행위였는데 되레 저런 말을하니 정말 어이가 없네요.."
AMWS,대중적인 현대사상에 역행하는 것이 민족주의적 사고인데 어느나라 민족인게 중요한게 아니라 상관하지 않고 그 능력과 실질적인 면을 봐야 공평하고 자신의 귀속적인 입장에서도 억울하지도 않게 되는 것이죠. 자신이 어느나라 출신이여서 제제받고 과거역사에 집착해 현대 외교를 망가뜨리면 결국 국가의 발전도 역행할 수 밖에 없지요.
새,ㅈㄴ웃긴게 쟤네 나라에서 온갖 sns랑 유튜브 다막아놨는데 지들 나라에서 불법인 행위를 하면서 지들 딴에는 애국이라 지껄이고 있는거임 어이가 없음 ㄹㅇ
ham Slice,그래서 난 최소 중국타이틀 달고온건 다 거름.
로사메,"지나가다 영상보고 아무래도 아무도언급 없고해서 2개월지났지만 추가덧글 올립니다 저는 트위터에서 동북공정 싸움의 첫 시작부터 끝까지 참여했던 사람입니다.
중국의 동북공정과 샤이닝 니키의 논란이 커진 시작의 최초는 게임쪽이 아닌 중국의 한 소설 논란이었습니다 중국의 소설들이 2020년에 갑자기 대거 밀려들어오기 시작하면서 sns에서 한창 중국 소설이 주가를 올리기 시작했었습니다 그와중 2020 중순이 조금 지나 한 소설에서 장백산 표기, 백두산을 가상의 산으로 치부(공식답변상) 하였고 중국의 동북공정에 대해 갑작스럽게 많은 관심이 쏟아졌습니다. 거기에 포함해 한국에서도 유명하고 팬덤이 큰 소설원작 모 중국 드라마의 남자주인공중 한 배우가 한국의 춤과 아리랑을 중국의 소수민족 것이다라고 한 얼마 안된 논란까지 끼얹어지면서 문화 전반으로 퍼진 동북공정에 대한 경계심은 2020년 9~10월즈음 부터 강해지기 시작했습니다 왜 이 이야기가 샤이닝 니키사태와 관련이 있냐면 저는 샤이닝 니키가 크게 터지기 바로 며칠전부터 샤이닝 니키 몇몇 유저분께서 중국소설사태에 혹시 한복도 동북공정인건 아니겠지라는 말을 오가는 것을 목격하였습니다. 아니나다를까 며칠 후 샤이닝 니키한복에 불이 붙었고 한두달 안되는 시간동안 계속해서 터지는 중국의 문화 동북공정 논란에 샤이닝 니키까지 불이붙자 주 지적을 했던 트위터 뿐만 아니라 타사이트(루리웹등)까지 이 겹치는 모든 사건들을 동북공정이란 여론이 압도적이게 되었습니다.  샤이닝 니키동북공정사태는 시작이 아닌 당시 여론의 끝물상태에서에 터져서 동북공정이슈를 재점화시킨 사건이었습니다. 참고로 지금도 동북공정이슈는 한국 여러문화매체에서 발견되고있지만 샤이닝니키 이후로 크게 묻혔고 얼마전 중국은 김치는 자신들의 것이라는 뉘앙스의 영상을 올렸네요..^^"
부평소닉,먀오
정재익,몰라 정치인들은 ..
さんびゃくろくじゅう,"근데 난 (우리나라의 역사를 부정할 생각은 없음 그냥 의문제기임) 솔직히 우리나라에서
가르치는 역사가 과연 다 믿어도 되는걸까 싶음 저 중국애들도 역사왜곡 하고 일본애들도 역사왜곡 하는데 우리나라라고 안할까 싶다

고구려가 우리나라 역사인 이유가 뭐임?
내가 가장 좋아하고 한국인으로써 자랑스럽게 여기는 나라긴 한데 솔직히
저 삼국시대에 한글이 있었을 리도 없고
영토 위치만 보면 중국꺼 아닌가... 싶기도 하고 또 독도도 일본애들 얘기 들어보면 또
일본꺼 같기도 해 

근데 고구려가 어디꺼든 독도가 어디꺼든
일단 중국은 망하고 보는게 맞는거 같에..."
냐무냠,"최근에는 알리 익스프레스? Ceo 마윈인가 마 어쩌구 그사람
중국 비판 종종 하던 사람인데 두달째 공식석상에서 모습도 안드러내고
주가도 30프로나 떨어져서 자산 13조원 날라가고
거기다가 중국 정부랑 중국 당 관련 사람들이 사람 불러다가 까는??
그런 자리에까지 끌려갔다던데
마윈 그사람이나 판방빙이나 영향력 겁나 많은 사람들도 중국 눈에 나면
밟힐수 있다는게 너무 무섭고 신비함....ㄷㄷ
나도 이제서야 이야기 들었는데 영상에 나오는거처럼 
중국 국적인 이상 중국 눈치는 죽을때까지 봐야하는듯...."
야채토마토,지식백과 걍 와서 영상만 재미나게보고 구독은 안했는데 이번걸로 했다 +_+구독 ㅇㅈ?
라떼냥,"우리 문헌에 독도  지배했다는 기록이 있고
한푸는 고려양이 유행했다는 중국 문헌이 있고요 
삼국시대는 치고박고하면서 벽화나 유물들이 있고 삼국시대는 전쟁 많이해서 국경이 쓸모가 없었을거 같기도 하고.."
이상엽,그......사실 G식백과도 중국거거든요
아뭐하지이,지들이 문화대혁명이라고 찬란한 유산 다 갈아먹고 뗏놈짓하고 있으면서 무슨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정승운,중국새끼들 멍청해서 훔칠주밖에 모르잖아.천안문때 다 죽여버렸으니 나쁜새끼들 ㅋ
두봉찌,우리 달님의 의견이 궁금하다 정말ㅋㅋㅋㅋㅋ
GoDiB,개들은 신경을 안쓰는게 아니고 신경 쓸 필요가 없는게 아닐까...?
타이탄,이젠 사회주의도 죽었다 이젠 정신나간 공산주의다
SM LEE,중국문화는 대만 국민당이 정통성을 가지고 있지. 막말로 공자무덤도 파괴시킨놈들이 무슨 문화타령이냐 ㅋㅋㅋ
재강,저렇게안하면 곤충처럼 머리가슴배로 나눠지자너
장엄,"2:59 홍위병 때는 옛것을 때려부수는 걸 그대로 시전했는데, 이번엔 뭐 그냥 다 흡수하려드네? 홍위병이 프리더라면, 이건 셀이야"
서둘러,지랄 코로나놈들이 말은 많네 ㅉ
코인,야 그 고구려 치다가 느그들 나라 몇개 망한건 기억 안나냐?ㅋㅋㅋㅋㅋㅋㅋㅋ
DIOXIN,와 팩폭 지림
Young J,누가 제발 영어자막좀 달아서 이영상을 세계적으로 유명하게 해줬음 좋겠다
건슬라이더,나는 중국이 좋다... 그래서 나는 중국이 여러개면 좋겠다
청솔,"중공놈들은 정부가 거짓을 만들어내면 그걸 언론통제와 왜곡으로 전부 진짜로 믿어버리는 민족 특성이 있다고 합니다. 그냥 답없는 정신병자 국가입니다. 중공은 그런곳이었습니다 옛날부터 말입니다.
참고로 조선족도 모두 중국인이라고 보시는 게 좋습니다. 대한민국이 엄청나게 강대국이 되어서 조선족을 흡수해서 간도쪽을 흡수한다면 모르겠지만 지금으로썬 그들을 완벽한 중국인으로 생각하는 게 가장 합리적인 접근법일 것입니다."
강건우,아 ㅋㅋ 왜 일본 안건드리고 우리만 건드는지 의아했는데 이미 건드리고 있었구나...대던하네
요술램프,중국공산당의 유일한 오리지널 : 우환폐렴.
챤메이어,아 이 형 진짜 ㅋㅋㅋㅋㅋ 할말다하넼ㅋㅋㅋ
구미호,"한복이 중간보다 못하는 망국꺼?
ㄴㄴ. 아니지.
중국이 우리 나라꺼 디자인 베껴간 카피푸아냐?
한복은 진정 조상님들의 평생 가는 몸의 예의가 담긴 디자인인데 그거 베껴서 21세기에 만들어진 단어인 한푸가 그런거 아닌가 싶어서~
난 한푸가 예쁘다고 생각했는데 그게 그렇게 별로였던거구나...배우들 몸에 걸쳐진 옷이 선녀의 날개옷이랑 비슷한 그 특유의 나풀거림이 최고였는데..괜히 최고라 생각했네.
우리나라 한복이 최고야.
안 날리고 정갈하고 든든한 아름다움이 최고다.
이제는 중드, 중영 1도 안 본다.
애니씹덕이라 딱 한 가지만은 파준다. 마도조사 더빙판이 그렇게 좋더라~ 중국성우는 입덕계기 제로임. 너무 별로라서..극혐..
한국성우가 최고야♥"
밤,영상 끝나고 나오는 광고가 기적의 검이네요 허허
사람지나가는,누가 한복은 민주주의를 상징한다. 민주주의를 위해 노력하는 당신들의 마을이 존경스럽다 이랬다고하던대 아닌가
여은,재수할 때 쌤이 자꾸 중국 황제 나오면 시진핑핑이 하면서 졸라 싫어했는뎈ㅋㅋㅋ
사람,"이런 dog같은 중국
무슨 우리 한국의 모든게 니꺼냐? 진짜 어이가 없다무슨 한국이 니꺼냐ㅋ 어이가없다지이인짜"
김ᄐᄀ,그러게 문화대혁명 그딴걸 하지말았어야지
Jay Antonio Lee,"두 나라의 대통령님들이 이 영상을 싫어합니다.


ㅋㅋㅋㅋ"
walker w,"중국애들  너도 인체 신비전  되고싶니~
하면  잘  알아들을듯"
LEEDAQ,중국 최근에 미국에 싸대기 맞은거 호주에 다굴치면 알아서 짖을줄알았는데 호주 졸라 세게나옴 ㅋㅋㅋㅋ 월드 병신  쭹꿔됨 ㅋㅋㅋ
fantast dream,"대중화 명은 청에게 멸망 당하고 소중화는 조선이됌
신해혁명의 중화민국은 중공에게 쫓겨나 문화재 들고 대만으로 갔고
지금 중원에 남아있는건 문혁으로 문화유산 쓸어버린 오랑캐 중공 아닌가?"
이름,ㅁㅊ 탄지우 작가잖아
6sinegohwan,코로나 지들꺼 아니라고 우길거면 형주 딴나라 주든가ㅋㅋㅋ 그러지도 못하면서
김민서,이러다가 카우보이도 지네꺼라고 하겠넹....
아루카,"회사입장에선 말잘못하면 내일아침 자택에서 죽어있을텐데 꼬리말수밖에는없겠지
근데 나갈때 조용히나갔으면 욕이라도더안먹었을텐데"
삭삭삭삭,천안문을 사랑해진다...
이현,공산당이 무서우면 수출을 하지말자...쫌
이승준,너무시원해~~
SR10641,중국에 민주주의를!
누렁개,김성회 형님 채널로 사이버 전사들 테러 하는거 아닐지?
먀,6:08 ㅋㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎ 아 말 왤케 재밌게해??
#백만냥이,"중국 : 공산당 + 파시시트 전체주의 + 일당독재. 

마르크스하고 레닌도 이 꼬라지보면 자살 마려울거 같다. 히틀러는 좋아할지도?"
아왈왈해,중국이 처음으로 아니라고 하는게 코로나가 될줄 몰랐다
찌루노호,난 중국이 준나 싫어
jinyucheng,중화인민공화국의 모든 기업 단체 종교에는 일반인과 소수의 공산당원과 당의지부가 존재합니다  예상하기론 회사측 공산당원이 당에 보고했을꺼고 아마 당에서 서비스철수 하라고 압박 들어왔을거 같아요 회사측을 이해하고 중국의 민주화를 응원합니다
steel sup,우마오당 조심하세요... 채널폭발까지 가더라구요
샌,결론은 핑핑이가 진정한 흑막이다. 아직도 마오~ 하고 울때 소름이 끼친다.
seung guu kang,팔이 왼쪽으로 오른쪽으로 움직일때 각각 맨트 들어가는거 진짜 자연스럽고 적절하다 ㄷㄷ
사람,저새끼들은 국제 망신이라는걸 모르나
jy kim,"마 뚱한테 감사해야하나...
이렇게 하나의 나라를 싫어하게 만들어 줬으니?
참새 이야기는 아직도 ㅋㅋㅋ 웃으면서 기억이 되는 ㅋㅋㅋ"
Chill Moment,ㅋㅋㅋㅋ 지금 김치도 뺐겼어 ㅋㅋㅋㅋㅋ 검색해봐 ㅋㅋㅋ
김현빈,대륙이라는 거대한 땅을 가지고 있지만 대국이 될 수 없는 이유: 마음이 넓지 아니하니 어찌 그릇이 이리 작단 말인가? 이래서 대국이 될 수 없고 중국으로 머물러 있는건가? 허허
우드워드 조지,"아이탬의 인밴토리 영상(일부):한국은 민주주의의 나라이다,한국의 옷인 한복 으로 당신들의 민주주의 에 대한 열망을 잘보여주는군요"
우드워드 조지,"않이....한나라보다 훨어어어어ㅓ어어ㅓ어어ㅓ어어ㅓ어어어어ㅓ어어얼씐 오래전인 고구려 때도 한복 그림 있지 않음???
🇨🇳🇨🇳🇨🇳🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾"
Jai Hyuk Choi,아 속시원한 영상입니다.~^^
Espana Losario,"처음 중국 유저가 제기한 것은 한복이 중국의 것이란 주장이 아니라, 출시한 한복중에 하나가 한푸와 비슷하여 이에 대해 문제제기한 것이란 얘기가 있습니다. 이와 관해서 좀더 조사 부탁드려요~~~~~~~~~~~"
SungJoo Han,"호주에서 1년 살면서 겪은게 중국어학과 대학생이랑 길 걷다 본건데 중국인이 중국말로 호주백인에게 길 물어봄 ㅋㅋㅋㅋ
당연 호주인은 중국어 모르니까 아임 낫 차이니즈 하면서 난 중국어 모른다고 함
그러니까 그 중국인 관광객 막 화내더라 왜 넌 중국어도 못하냐며 중국어로 빽빽~!! 쏼라~! 거림
기가 찬 호주인이 혼잣말로 오우~쉿~~ 더 퍽킹 차이니즈....!!하고 무시하고 감

그리고 도미노 피자에서 중국어로 주문함 직원이 중국어 못 알아듣는데 끝까지 중국어 고집
화장실에서 변기뚜껑에 신발신고 올라가서 똥 싸고 물도 안 내리는 놈들부터
차이나 타운에서 엄마한테 땡깡 부리다 귀싸대기 날리는 중국 청소년부터
게스트하우스 주방에서 요리하는데 불쑈하고 연기 풀풀 날리는 애들부터....뭔 놈의 방은 그렇게 지져분하게 사는지....
그 와중에 매너있고 젠틀한 중국인도 없진 않았지만 전반적으로 애내들은 사고방식이 우리와 많이 다르다는걸 느낌"
magi pan,시원하다 김성회!!!
마마,저거 그냥 한복 한국꺼라고 생각하는데 중국 정부 반대하면 신비해지니까 저런듯
초코탕,지들 문화지들이 다 태우고 지랄한다 중국 ㅉㄲ는 미개국가 시진핑 ㅂㅅ놈
이아연,"중국은 똥이다.
그러므로 중국게임도 똥이고 중국의 역사왜곡하는 중국인들도 똥이다.
똥은 냄새도 맡지말고 무시해야한다.더러우니까."
를!,우한바이러스 새끼들이 입만살았네 어휴
김남혁,"iso 말하는 거면 그거 사실 아니라던데요. 내용에 kimchi에 대한 건 아니라고 명시되어 있답니다. 김치는 2001년에 이미 인증 받았어요. 이번에 인가받은 건 파오차이라는 다른 식품입니다. 중국 매체 중 하나에서는 그걸 오인, 혹은 왜곡했는데 그냥 열폭하는 것 같네요."
raboqa,"지네는 세계 GDP2위이고, 동아시아 역사의 발상지인데, 옆나라 한국, 일본에 소프트파워가 밀림. 일본이야 인구도 억따리고 GDP3위이니 그러려니쳐도 지네보다 경제력 수십분의1에 인구도 28분의1밖에 안되능 한국 문화파워에 지네 나라가 장악되니 열폭에 ㅂㄷㅂㄷ해가지고 진짜 별쑈를 다하는거 같음. 문혁때 지네나라 문화유산, 기록 다 부셔가지고 중국왕실역사나 예법, 문학 등 연구할때 조선, 고려 등 한반도에서 기록한 기록물이 필수고 지네 나라 역사도 제대로 연구못하는 찐따국"
pearl pearl,중간 중간에 네 글자로 황당무계~ 광역민폐~ 이러는 거 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋ
신종원,"사실 역사보면 동양에 중국 영향 안받은게 없고 뿌리타고타고타고타고타고타고타고타고타고타고올라가면 뭐 중국 나올테니까.






ㅅㅂ 로마가 유럽 정복했고 문화의 뿌리라고 유럽의 모든 문화가 이탈리아꺼라디?-짱-"
